feature,DA,DE,DS
logical_reasoning,0.0494,0.0717,0.0553
abstract_reasoning,0.0412,0.0491,0.0791
spatial_reasoning,0.0247,0.0642,0.0395
openness,0.0412,0.0302,0.0711
conscientiousness,0.0617,0.0717,0.0672
extraversion,0.07,0.0226,0.0395
agreeable,0.0658,0.0453,0.0316
neuroticism,0.0165,0.0264,0.0158
communication,0.0782,0.0453,0.0593
teamwork,0.0576,0.0642,0.0514
conflict_resolution,0.0494,0.0642,0.0316
ethics,0.0412,0.0679,0.0751
leadership,0.0412,0.0453,0.0474
problem_solving,0.0576,0.0642,0.0751
emotional_intelligence,0.0782,0.0377,0.0474
time_management,0.07,0.0528,0.0474
accountability,0.0494,0.0717,0.0553
visual,0.0412,0.0302,0.0237
auditory,0.0247,0.0151,0.0158
read_write,0.0247,0.0226,0.0395
kinesthetic,0.0165,0.0377,0.0316
realistic,0,0,0
investigative,0,0,0
artistic,0,0,0
social,0,0,0
enterprising,0,0,0
conventional,0,0,0